Region/Country/Area,,Year,Series,Value
1,"Total, all countries or areas",1995,Primary energy production (petajoules),"382,594"
1,"Total, all countries or areas",2000,Primary energy production (petajoules),"413,334"
1,"Total, all countries or areas",2005,Primary energy production (petajoules),"477,637"
1,"Total, all countries or areas",2010,Primary energy production (petajoules),"531,540"
1,"Total, all countries or areas",2015,Primary energy production (petajoules),"570,407"
1,"Total, all countries or areas",2016,Primary energy production (petajoules),"569,793"
1,"Total, all countries or areas",2017,Primary energy production (petajoules),"581,831"
1,"Total, all countries or areas",2018,Primary energy production (petajoules),"599,931"
1,"Total, all countries or areas",1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,652"
1,"Total, all countries or areas",2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,096"
1,"Total, all countries or areas",2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,357"
1,"Total, all countries or areas",2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,046"
1,"Total, all countries or areas",2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-18,812"
1,"Total, all countries or areas",2016,Net imports [Imports - Exports - Bunkers] (petajoules),"-22,205"
1,"Total, all countries or areas",2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-21,035"
1,"Total, all countries or areas",2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-23,018"
1,"Total, all countries or areas",1995,Changes in stocks (petajoules),229
1,"Total, all countries or areas",2000,Changes in stocks (petajoules),"-2,947"
1,"Total, all countries or areas",2005,Changes in stocks (petajoules),-286
1,"Total, all countries or areas",2010,Changes in stocks (petajoules),83
1,"Total, all countries or areas",2015,Changes in stocks (petajoules),"2,469"
1,"Total, all countries or areas",2016,Changes in stocks (petajoules),"-5,545"
1,"Total, all countries or areas",2017,Changes in stocks (petajoules),"-1,982"
1,"Total, all countries or areas",2018,Changes in stocks (petajoules),326
1,"Total, all countries or areas",1995,Total supply (petajoules),"373,713"
1,"Total, all countries or areas",2000,Total supply (petajoules),"406,186"
1,"Total, all countries or areas",2005,Total supply (petajoules),"464,565"
1,"Total, all countries or areas",2010,Total supply (petajoules),"518,411"
1,"Total, all countries or areas",2015,Total supply (petajoules),"549,127"
1,"Total, all countries or areas",2016,Total supply (petajoules),"553,132"
1,"Total, all countries or areas",2017,Total supply (petajoules),"562,778"
1,"Total, all countries or areas",2018,Total supply (petajoules),"576,587"
1,"Total, all countries or areas",1995,Supply per capita (gigajoules),65
1,"Total, all countries or areas",2000,Supply per capita (gigajoules),66
1,"Total, all countries or areas",2005,Supply per capita (gigajoules),71
1,"Total, all countries or areas",2010,Supply per capita (gigajoules),75
1,"Total, all countries or areas",2015,Supply per capita (gigajoules),74
1,"Total, all countries or areas",2016,Supply per capita (gigajoules),74
1,"Total, all countries or areas",2017,Supply per capita (gigajoules),75
1,"Total, all countries or areas",2018,Supply per capita (gigajoules),76
2,Africa,1995,Primary energy production (petajoules),"32,334"
2,Africa,2000,Primary energy production (petajoules),"36,646"
2,Africa,2005,Primary energy production (petajoules),"44,914"
2,Africa,2010,Primary energy production (petajoules),"47,407"
2,Africa,2015,Primary energy production (petajoules),"44,689"
2,Africa,2016,Primary energy production (petajoules),"44,108"
2,Africa,2017,Primary energy production (petajoules),"46,304"
2,Africa,2018,Primary energy production (petajoules),"46,827"
2,Africa,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,019"
2,Africa,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-15,605"
2,Africa,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-20,428"
2,Africa,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-19,167"
2,Africa,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,385"
2,Africa,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"-12,098"
2,Africa,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,388"
2,Africa,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,761"
2,Africa,1995,Changes in stocks (petajoules),322
2,Africa,2000,Changes in stocks (petajoules),-19
2,Africa,2005,Changes in stocks (petajoules),4
2,Africa,2010,Changes in stocks (petajoules),43
2,Africa,2015,Changes in stocks (petajoules),-43
2,Africa,2016,Changes in stocks (petajoules),-85
2,Africa,2017,Changes in stocks (petajoules),72
2,Africa,2018,Changes in stocks (petajoules),29
2,Africa,1995,Total supply (petajoules),"18,994"
2,Africa,2000,Total supply (petajoules),"21,061"
2,Africa,2005,Total supply (petajoules),"24,482"
2,Africa,2010,Total supply (petajoules),"28,196"
2,Africa,2015,Total supply (petajoules),"31,346"
2,Africa,2016,Total supply (petajoules),"32,093"
2,Africa,2017,Total supply (petajoules),"32,844"
2,Africa,2018,Total supply (petajoules),"33,038"
2,Africa,1995,Supply per capita (gigajoules),26
